,total_fees
0,0.214987105160598
1,1.88951421721886
2,0.0
3,0.524607417176476
4,0.0
5,0.47926014406624
6,4.84767704141522
7,0.0
8,0.0
9,24.2303837369086
10,96.2199472708686
11,0.337886989510134
12,1.295604736367116
13,0.1282511069272144
14,0.033237189837368
15,1.276039392235472
16,0.0
17,2.02722772555788
18,1.949769483962788
19,0.0
20,48.5156707311416
21,4.48879736241982
22,2.25009036154766
23,0.0
24,0.0
25,183.2011801934046
26,0.0
27,0.0
28,0.0
29,0.1985912286119346
30,2.40617169568764
31,1.85996427912411
32,1.950255428618174
33,4.95780309333974
34,0.0
35,17.39169573100976
36,0.94065547067483
37,0.0
38,2.59049018425454
39,0.0
40,0.0882717323833874
41,9.69217996728346
42,0.044304239989451
43,0.0
44,0.372441197044402
45,22.5215671811672
46,0.0
47,1.322091332158468
48,0.0
49,0.0
50,0.0
51,0.0
52,8.67527728456438
53,1.069446467458378
54,0.0
55,0.0
56,0.0
57,0.010829556054747
58,1.348419095746524
59,0.0
60,0.0
61,1.823279145503188
62,0.0
63,7.89307009677724
64,29.2913470161492
65,3.95569200804306
66,6.21123003913368
67,10.36700367082902
68,2.87462617099078
69,0.0
70,5.57627043645378
71,2.06217249698212
72,0.0
73,1.104893355977262
74,0.374885819921734
75,0.66451345537591
76,2.08145014901782
77,0.0
78,0.35030781945022
79,0.0
80,0.0
81,0.772658750464064
82,0.0
83,0.0
84,0.1693375496793966
85,15.0294396340639
86,0.0
87,0.012991611200906
88,4.1555762611791
89,0.0
90,0.1063866959422256
91,2.45836749703068
92,17.3593959394103
93,0.0
94,0.620030288209876
95,11.9551758783449
96,0.0
97,10.1370365638989
98,19.23292397994888
99,0.0
100,0.0
101,1.87236840552491
102,0.0
103,0.462208790914292
104,0.0
105,0.1219356555021758
106,0.1389470655702588
107,0.907204772986224
108,3.9109523123113
109,0.0847921377970522
110,0.095298829797009
111,0.72193261971222
112,0.409461815366632
113,0.0973407949695144
114,3.80220790637156
115,0.0948633946456898
116,5.47279606338826
117,6.40772835036302
118,0.646161833639544
119,0.0
120,2.52725264104962
121,1.751125346461298
122,13.27389821745418
123,0.425309320491242
124,0.36162888518297
125,0.063004879995519
126,1.743027507017686
127,0.0994640485306076
128,1.569410392213436
129,0.907001069220268
130,4.24625349938286
131,0.0
132,0.0
133,0.1119799890905208
134,1.868931500214396
135,108.1312632306238
136,1.635654989506736
137,7.01276876059928
138,0.331663579429108
139,0.0
140,0.23386354783739
141,5.4051926138299
142,18.7298743027935
143,0.418644750563346
144,0.249644663003456
145,0.0643895250520134
146,0.0
147,1.809372144209748
148,0.0264959431819862
149,0.0
150,2.48715046972002
151,2.21774880049118
152,0.486908224916614
153,0.0
154,0.0
155,0.007772975959629
156,0.095902950278642
157,2.7098238292036
158,10.05168143527542
159,0.0
160,0.20617118327606
161,0.0373859690151288
162,2.79851107858026
163,1.036575442932202
164,18.46187353949918
165,2.43903110343356
166,0.11316270243105
167,0.0
168,0.0
169,0.251308681171208
170,0.0
171,0.0
172,11.28500508876468
173,0.895726461251356
174,1.892166587515278
175,0.0584798923131664
176,0.1898701383189804
177,3.40633843299136
178,19.0994329826188
179,0.1419294622932114
180,0.269408020573454
181,2.6225468408957
182,10.98697542039292
183,0.1498479829005368
184,1.479416233827566
185,3.67287946074772
186,1.923629444620494
187,22.5968765750622
188,0.0
189,0.116913259226027
190,0.0
191,0.0
192,0.0
