,total_fees
0,2.64141358821154
1,0.0
2,1.123917347963694
3,9.11891745811178
4,4.55466864019702
5,1.16292281752379
6,0.0220147346679554
7,0.0
8,0.084000479255926
9,1.91767305208439
10,1.531057888820792
11,0.237476811270668
12,18.15011470760294
13,1.047983662512304
14,0.0
15,6.06474700785434
16,4.83232071005454
17,0.0
18,0.0
19,35.1993016076012
20,6.72159474039948
21,1.902211328353468
22,0.504455824823636
23,0.0
24,0.0
25,0.0
26,0.078209716515083
27,0.0
28,0.0812678221236786
29,0.0418941243437512
30,5.8697379512842
31,20.3694010846796
32,0.1025042644887676
33,8.64442850630362
34,2.50491606955896
35,27.8912901212232
36,0.823250091187128
37,5.18384773623572
38,0.0
39,0.1606515933212272
40,0.0
41,0.0262520447998386
42,5.24270168662338
43,45.6212430477452
44,0.0
45,3.24648930802446
46,34.8433297976108
47,5.0907886709618
48,0.077355624988604
49,0.0
50,1.469532216696338
51,0.0
52,3.97282064627096
53,0.864850014071802
54,0.0
55,6.62382826050068
56,11.38609617479778
57,5.57983659631464
58,157.9206359728288
59,0.928623678217816
60,4.55882938954966
61,3.90608516910094
62,2.48063723735298
63,0.67248255661586
64,8.39689399554356
65,0.1965463217702884
66,0.0
67,1.734350877430084
68,5.71214573511308
69,8.0506375368108
70,0.119642214663177
71,5.34188173159514
72,6.2379201738868
73,0.0
74,0.1478062888738472
75,10.51540850870836
76,0.0
77,1.486228705810914
78,1.94105132045385
79,0.0
80,0.333147611819526
81,0.0
82,1.294043064903712
83,0.0039365884855674
84,70.540591227067
85,0.0
86,0.0249353369465742
87,0.0
88,0.669376380356416
89,20.337570339394
90,2.97905562588984
91,0.0
92,0.0
93,0.0
94,6.51024410441064
95,0.29847556092015
96,0.0
97,0.0
98,0.034423273844087
99,0.067672413997212
100,1.627838619283194
101,0.0
102,0.0
103,1.699336255037358
104,0.0
105,0.0821511189205226
106,0.0
107,6.0618224658345
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,8.8722789482197
117,0.39327182998844
118,0.0
119,9.46810503661652
120,0.0
